,tconst,primaryTitle
432981,tt2382320,No Time to Die
730992,tt9603208,Mission: Impossible - The Final Reckoning
730993,tt9603212,Mission: Impossible - Dead Reckoning Part One
381456,tt1877830,The Batman
271324,tt12037194,Furiosa: A Mad Max Saga
325905,tt1462764,Indiana Jones and the Dial of Destiny
277682,tt12361974,Zack Snyder's Justice League
341847,tt15398776,Oppenheimer
369615,tt1757678,Avatar: Fire and Ash
233655,tt10366206,John Wick: Chapter 4
262141,tt1160419,Dune: Part One
674137,tt6723592,Tenet
704802,tt8178634,RRR
284589,tt12735488,Kalki 2898 AD
338364,tt15239678,Dune: Part Two
642922,tt5537002,Killers of the Flower Moon
282551,tt1262426,Wicked
720411,tt8999762,The Brutalist
568899,tt3704428,Elvis
240591,tt10640346,Babylon
356820,tt16311594,F1: The Movie
244833,tt10811166,The Kashmir Files
654254,tt5950044,Superman
238691,tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes
316314,tt14208870,The Fabelmans
368834,tt17526714,The Substance
295752,tt13287846,Napoleon
312477,tt14039582,Drive My Car
523344,tt33014583,Dhurandhar
607980,tt4244994,The Last Duel
321921,tt14444726,Tár
642613,tt5525650,The Goat Life
364260,tt17009710,Anatomy of a Fall
340808,tt15354916,Jawan
724725,tt9218128,Gladiator II
447564,tt26446278,The Count of Monte-Cristo
727639,tt9389998,Pushpa: The Rise - Part 1
239372,tt10579952,Master
255222,tt11286314,Don't Look Up
253695,tt11214590,House of Gucci
251964,tt11138512,The Northman
257550,tt11389872,Kingdom of the Planet of the Apes
201342,tt0439572,The Flash
554512,tt3581652,West Side Story
306484,tt13751694,Animal
310191,tt13927994,Salaar
290015,tt1302006,The Irishman
241962,tt10698680,K.G.F: Chapter 2
673829,tt6710474,Everything Everywhere All at Once
342618,tt15428134,Dunki
346882,tt15654328,Leo
368569,tt17505010,Horizon: An American Saga - Chapter 1
486262,tt2975590,Batman v Superman: Dawn of Justice
248185,tt10954984,Nope
292046,tt1312221,Frankenstein
335273,tt15097216,Jai Bhim
686825,tt7322224,Triangle of Sadness
724161,tt9179430,Vikram
301721,tt13521006,Beau Is Afraid
217292,tt0816692,Interstellar
229096,tt1016150,All Quiet on the Western Front
664033,tt6334354,The Suicide Squad
478533,tt2906216,Dungeons & Dragons: Honor Among Thieves
682249,tt7131622,Once Upon a Time... in Hollywood
465732,tt27922706,Chhaava
241995,tt10701074,Ponniyin Selvan: Part I
733952,tt9777666,The Tomorrow War
356175,tt16277242,Society of the Snow
654833,tt5971474,The Little Mermaid
448838,tt26581740,Weapons
221343,tt0903624,The Hobbit: An Unexpected Journey
367404,tt17351924,Saltburn
359680,tt16539454,Pushpa: The Rule - Part 2
710914,tt8503618,Hamilton
294407,tt13231544,About Dry Grasses
305774,tt1371111,Cloud Atlas
474134,tt28607951,Anora
447373,tt26439764,Kantara: A Legend - Chapter 1
307779,tt13818368,Fighter
276467,tt12299608,Mickey 17
695778,tt7740496,Nightmare Alley
727178,tt9362722,Spider-Man: Across the Spider-Verse
267796,tt11858890,The Creator
264238,tt1170358,The Hobbit: The Desolation of Smaug
263460,tt11663228,Jailer
452947,tt26936666,Vettaiyan
733951,tt9777644,Da 5 Bloods
342831,tt15433956,Hanu Man
604636,tt4123432,Fantastic Beasts: The Secrets of Dumbledore
317052,tt14230458,Poor Things
690745,tt7518786,'83
614803,tt4495098,Gran Turismo
379525,tt1856101,Blade Runner 2049
348613,tt15732324,OMG 2
419207,tt22408160,Kinds of Kindness
398777,tt20850406,Sita Ramam
380608,tt18687124,BTS Permission to Dance on Stage - Seoul: Live Viewing
629415,tt5040012,Nosferatu
720057,tt8983228,Jhund
229765,tt10189514,Soorarai Pottru
